name,amenity,historic,tourism,leisure,addr:street,latitude,longitude
,vending_machine,,,,,48.6822402,6.16613
Le Médrevil,restaurant,,,,,48.6857455,6.1610798
Tradita,restaurant,,,,,48.6714347,6.1667432
Bibliothèque Américaine,library,,,,,48.6963657,6.176368
E-Bibliothèque Universitaire Campus Manufacture,library,,,,,48.6973001,6.1717403
Bibliothèque universitaire Ingénieurs GM-GSI,library,,,,,48.6953137,6.1929977
Cafétéria,restaurant,,,,,48.6944496,6.1664905
Factéria,restaurant,,,,,48.6953952,6.1657463
,bicycle_parking,,,,,48.6927256,6.1668217
,bicycle_parking,,,,,48.693345,6.167345
,bicycle_parking,,,,,48.6934532,6.1674306
,bicycle_parking,,,,,48.6937763,6.1669743
,bicycle_parking,,,,,48.693803,6.1660857
,bicycle_parking,,,,,48.6942641,6.1665775
,bicycle_parking,,,,,48.6943488,6.1659455
,bicycle_parking,,,,,48.6946468,6.1657364
,bicycle_parking,,,,,48.6948029,6.1665698
,bicycle_parking,,,,,48.6949098,6.1665963
Centre Européen Universitaire,university,,,,,48.6936842,6.1762326
Institut de Préparation à l'Administration Générale,university,,,,,48.6934791,6.1754461
,bicycle_parking,,,,,48.6789062,6.1714303
,toilets,,,,,48.6968393,6.1839427
Pharmacie du Montet,pharmacy,,,,,48.6733106,6.1737447
,post_box,,,,,48.682232,6.1917724
Le L.E.M.,theatre,,,,,48.6948778,6.181354
Service universitaire de médecine préventive et de promotion de la santé-Nancy / Campus Lettres et Sciences Humaines,social_facility,,,,,48.6937386,6.1663998
,parking_entrance,,,,,48.6891815,6.1727409
Ibis Nancy Centre Stanislas,,,hotel,,,48.6935593,6.1918667
,recycling,,,,,48.6833831,6.1727283
,recycling,,,,,48.683396,6.1727203
,post_box,,,,,48.6834106,6.1730338
,vending_machine,,,,,48.6729994,6.1757017
,vending_machine,,,,,48.6738454,6.1669598
,vending_machine,,,,,48.673606,6.1716365
,vending_machine,,,,,48.6774133,6.1705663
